Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,12,77556.46,1,At-Risk Customer
12347.0,2,8,5633.32,1,At-Risk Customer
12348.0,75,5,2019.4,1,At-Risk Customer
12349.0,19,4,4428.69,1,At-Risk Customer
12350.0,310,1,334.4,0,Lost Customer
12351.0,375,1,300.93,0,Lost Customer
12352.0,36,10,2849.84,1,At-Risk Customer
12353.0,204,2,406.76,1,At-Risk Customer
12354.0,232,1,1079.4,1,At-Risk Customer
12355.0,214,2,947.61,1,At-Risk Customer
12356.0,23,6,6373.68,1,At-Risk Customer
12357.0,33,3,18287.66,1,At-Risk Customer
12358.0,2,5,3887.07,1,At-Risk Customer
12359.0,58,10,8935.94,1,At-Risk Customer
12360.0,52,8,4252.89,1,At-Risk Customer
12361.0,287,4,511.25,0,Lost Customer
12362.0,3,11,5356.23,1,At-Risk Customer
12363.0,110,2,552.0,1,At-Risk Customer
12364.0,8,4,1313.1,1,At-Risk Customer
12365.0,291,2,641.38,0,Lost Customer
12366.0,634,1,500.24,0,Lost Customer
12367.0,4,1,168.9,1,At-Risk Customer
12368.0,628,1,917.6999999999999,0,Lost Customer
12369.0,413,3,1791.15,0,Lost Customer
12370.0,51,7,4320.31,1,At-Risk Customer
12371.0,45,5,4067.38,1,At-Risk Customer
12372.0,72,3,1298.04,1,At-Risk Customer
12373.0,311,3,1127.65,0,Lost Customer
12374.0,25,4,2989.2200000000003,1,At-Risk Customer
12375.0,11,2,457.5,1,At-Risk Customer
12376.0,390,2,503.15,0,Lost Customer
12377.0,315,4,3426.32,0,Lost Customer
12378.0,130,2,5416.32,1,At-Risk Customer
12379.0,82,4,1620.22,1,At-Risk Customer
12380.0,22,11,9676.300000000001,1,At-Risk Customer
12381.0,5,5,1845.31,1,At-Risk Customer
12383.0,185,5,1850.56,1,At-Risk Customer
12384.0,29,2,585.27,1,At-Risk Customer
12385.0,379,1,1938.4,0,Lost Customer
12386.0,338,2,660.8,0,Lost Customer
12387.0,415,1,143.94,0,Lost Customer
12388.0,16,8,3901.11,1,At-Risk Customer
12389.0,403,3,1433.33,0,Lost Customer
12390.0,80,1,549.84,1,At-Risk Customer
12391.0,22,6,2773.42,1,At-Risk Customer
12392.0,591,1,234.75000000000003,0,Lost Customer
12393.0,72,6,2399.4500000000003,1,At-Risk Customer
12394.0,64,2,1272.48,1,At-Risk Customer
12395.0,19,15,5067.27,1,At-Risk Customer
12396.0,674,1,931.43,0,Lost Customer
12397.0,36,2,2409.9,1,At-Risk Customer
12398.0,46,1,1635.6599999999999,1,At-Risk Customer
